Abortion,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0005,,,,
Aeronautics,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0010,,,,
Aging,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0015,,,,
Agriculture,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0020,,,,
Alcoholic Beverage Regulation,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0025,,,,
Alcoholism & Drug Abuse,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0030,,,,
Aliens,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0032,,,,
"Amusements, Games, Sports",http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0034,,,,
Animals,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0035,,,,
Arts & Humanities,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0042,,,,
"Business & Commerce--Copyright, Patents, & Trademarks",http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0004,,,,
Business & Commerce--Enterprise Zones,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0049,,,,
Business & Commerce--Foreign Trade Zones,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0052,,,,
Business & Commerce--General,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0050,,,,
Business & Commerce--Small Business & Minority Business,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0051,,,,
Business & Commerce--Trade Practices,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0006,,,,
Cemeteries,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0054,,,,
Charitable & Nonprofit Organizations,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0055,,,,
City Government--Annexation,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0063,,,,
City Government--Employees/Officers,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0061,,,,
City Government--Finance,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0062,,,,
City Government--General,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0060,,,,
City Government--Land Use & Zoning,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0064,,,,
City Government--Roads,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0066,,,,
City Government--Utilities,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0068,,,,
Civil Remedies & Liabilities,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0065,,,,
Coastal Affairs & Beaches,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0067,,,,
Common Carriers,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0070,,,,
Communications & Press,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0073,,,,
Congress,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0085,,,,
Constitutional Revision,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0075,,,,
Consumer Protection,http://www.legis.state.tx.us/Reports/Report.aspx?ID=subject&LegSess=85R&code=I0080,,,,
